Color,Continent,Country,GDP,Males %,Females %,Suicide Rate per 1M,Schizophrenia %,Bipolar %,Eating Disorder %,Anxiety %,Depression %,Substance Misuse per 1M
12,Europe,Finland,45703.33,20.00399799,17.65834648,14.0385538,0.273948279,1.038547459,0.479986186,4.041595233,5.193026391,17271.53012
12,Europe,France,38476.66,17.65149879,19.17088193,15.3070461,0.262184386,1.130635218,0.434055987,5.997478237,4.522544291,16866.71787
12,Europe,Georgia,4078.25,14.68754739,12.54677268,6.693319674,0.21971835,0.661996169,0.101859762,2.719515462,3.068123222,12957.1885
12,Europe,Germany,44469.91,17.10695161,18.14085509,10.51644955,0.242870071,0.812681166,0.458267762,5.969386615,4.196881484,16127.93178
3,Africa,Ghana,1641.49,15.41958364,14.10308217,8.409293051,0.200382634,0.640786533,0.094030357,3.012481319,3.917623505,14456.63877
12,Europe,Greece,18613.43,16.75317825,18.0195196,3.731211235,0.264182087,1.129551755,0.413843011,5.570551567,4.466287714,16068.43496
15,North America,Greenland,48159.53,22.48810479,21.83732883,79.74681956,0.331229777,0.761217514,0.367014847,5.723339223,6.414756945,19908.77769
18,Oceania,Guam,35562.57,14.83253163,13.18352952,19.5400752,0.358364978,0.490074964,0.15680656,3.593250425,3.843595257,13173.8232
3,Africa,Guinea,924.98,15.44691956,14.80913821,9.653221221,0.188304178,0.627016957,0.066315378,2.964511231,4.067687746,15020.56334
21,South America,Guyana,4725.32,17.73259957,16.48436861,30.44570041,0.188788912,0.842746678,0.135380065,4.188927385,4.892878332,16689.42733
15,North America,Honduras,2480.13,14.27591403,12.44163318,4.599220851,0.199119093,0.771535031,0.121061238,2.919695534,3.032559955,12926.76747
12,Europe,Hungary,14224.85,15.15111787,13.88424302,18.49496271,0.234551727,0.674437105,0.164712576,3.589927033,3.052208443,13605.63858
12,Europe,Iceland,70056.87,16.21613615,16.75053226,10.81911872,0.26748318,0.945582152,0.427058792,5.359835004,3.582980737,15358.31188
6,Asia,India,1939.61,15.71495995,14.13189749,17.89633207,0.253159936,0.516164639,0.096161118,3.323052372,3.853959979,14748.19161
6,Asia,Indonesia,3846.86,12.98062862,12.54874147,3.535171734,0.280149342,0.554839147,0.099922131,3.573063501,2.910983659,12323.28607
6,Asia,Iran,5415.21,20.04235459,19.8038272,5.940575706,0.204054819,0.933115078,0.198716759,6.543667748,5.69492787,18854.10805
6,Asia,Iraq,5165.71,16.31567039,16.45801952,9.692234385,0.189135802,0.71239984,0.175608868,5.035343595,4.133472283,15933.18787
